,index,Star,Scan,JD,CHARA_num,wl,v2,v2c,v2sig,v2exp,flux,T1,T2,File,sp_freq,sp_freq_sample,pa,corr_v2,corr_v2c,corr_v2sig,cal_v2,cal_v2sig,u,v
64,208,HD_28024,18,7957.8885,42842,0.736,0.007008,0.002525,0.000321,0.9597,7733.1,W2,S2,211015_18_HD_28024.pav,232104667.8804121,232104667.8804121,98.87434322709973,0.011044199464120285,0.0026310305303740753,0.0003344795248515161,0.1524800636269229,0.00632010112872415,-26353448.046763055,168784048.90984398
65,209,HD_28024,18,7957.8885,42842,0.7292,0.008972,0.002904,0.000309,0.9603,8084.5,W2,S2,211015_18_HD_28024.pav,234269110.75148565,234269110.75148565,98.87434322709973,0.01421380603738,0.003024054982817869,0.00032177444548578567,0.1697142054867008,0.006489761439704575,-26353448.046763055,168784048.90984398
66,210,HD_28024,18,7957.8885,42842,0.7223,0.008024,0.002102,0.000291,0.9609,8450.7,W2,S2,211015_18_HD_28024.pav,236507040.78635374,236507040.78635374,98.87434322709973,0.012781552969211992,0.0021875325215943387,0.0003028410864814237,0.18474515699657984,0.011669700326021134,-26353448.046763055,168784048.90984398
67,211,HD_28024,18,7957.8885,42842,0.7159,0.007338,0.001973,0.000311,0.9605,8386.9,W2,S2,211015_18_HD_28024.pav,238621365.49795127,238621365.49795127,98.87434322709973,0.011761036117764368,0.002054138469547111,0.0003237896928682978,0.1970156759972505,0.01886564541062822,-26353448.046763055,168784048.90984398
68,212,HD_28024,18,7957.8885,42842,0.7095,0.009385,0.002463,0.000305,0.9604,8733.5,W2,S2,211015_18_HD_28024.pav,240773834.47495887,240773834.47495887,98.87434322709973,0.015131936821517,0.0025645564348188254,0.000317576009995835,0.15951437868981827,0.011090165509447159,-26353448.046763055,168784048.90984398
69,213,HD_28024,18,7957.8885,42842,0.7035,0.013602,0.003631,0.000326,0.9609,9063.7,W2,S2,211015_18_HD_28024.pav,242827342.65811417,242827342.65811417,98.87434322709973,0.022042583582059263,0.003778749089395359,0.00033926527214070147,0.15120003750875716,0.0073036866935484645,-26353448.046763055,168784048.90984398
70,214,HD_28024,18,7957.8885,42842,0.6977,0.016009,0.004084,0.000368,0.9614,9344.8,W2,S2,211015_18_HD_28024.pav,244845973.28362235,244845973.28362235,98.87434322709973,0.026072778975349816,0.0042479717079259415,0.0003827751196172249,0.1479340977209373,0.005001710677415038,-26353448.046763055,168784048.90984398
71,215,HD_28024,18,7957.8885,42842,0.6918,0.018498,0.004596,0.00041,0.9609,8890.7,W2,S2,211015_18_HD_28024.pav,246934136.39777872,246934136.39777872,98.87434322709973,0.030314155536078687,0.0047830159225725885,0.0004266833177229681,0.13685213976616514,0.0050384080892819,-26353448.046763055,168784048.90984398
72,216,HD_28024,18,7957.8885,42842,0.686,0.017339,0.003974,0.000391,0.961,8901.2,W2,S2,211015_18_HD_28024.pav,249021917.72592318,249021917.72592318,98.87434322709973,0.028573923692808215,0.004135275754422477,0.00040686784599375654,0.1299648081670675,0.0048679987098466,-26353448.046763055,168784048.90984398
73,217,HD_28024,18,7957.8885,42842,0.6804,0.01621,0.004004,0.000389,0.961,8959.7,W2,S2,211015_18_HD_28024.pav,251071480.83477852,251071480.83477852,98.87434322709973,0.02686332557618579,0.004166493236212279,0.00040478668054110304,0.12858184870511097,0.005059313843093052,-26353448.046763055,168784048.90984398
74,218,HD_28024,18,7957.8885,42842,0.675,0.015148,0.003635,0.000353,0.9607,9093.6,W2,S2,211015_18_HD_28024.pav,253080052.68145674,253080052.68145674,98.87434322709973,0.02524890081582116,0.0037836993858644742,0.00036744040803580726,0.12295031717304626,0.0046635656864600725,-26353448.046763055,168784048.90984398
75,219,HD_28024,18,7957.8885,42842,0.6697,0.015855,0.003896,0.000412,0.9595,8540.3,W2,S2,211015_18_HD_28024.pav,255082926.02655417,255082926.02655417,98.87434322709973,0.026605564155901748,0.0040604481500781655,0.0004293903074517978,0.11676709537324656,0.006070221495716601,-26353448.046763055,168784048.90984398
76,220,HD_28024,18,7957.8885,42842,0.6643,0.013908,0.003856,0.000392,0.9591,8537.6,W2,S2,211015_18_HD_28024.pav,257156458.7686035,257156458.7686035,98.87434322709973,0.023480352947993954,0.004020435825252841,0.0004087165050568241,0.1071636251833274,0.005860660890538712,-26353448.046763055,168784048.90984398
77,221,HD_28024,18,7957.8885,42842,0.659,0.012833,0.003305,0.000387,0.9583,8437.2,W2,S2,211015_18_HD_28024.pav,259224636.66158316,259224636.66158316,98.87434322709973,0.02180626427802611,0.003448815610977773,0.00040384013356986327,0.10157362919306025,0.006169760590674448,-26353448.046763055,168784048.90984398
78,222,HD_28024,18,7957.8885,42842,0.6536,0.011196,0.002539,0.000397,0.9579,8345.3,W2,S2,211015_18_HD_28024.pav,261366333.47610667,261366333.47610667,98.87434322709973,0.01914406114169797,0.0026505898319240007,0.00041444827226224035,0.09678839568273005,0.005541597696505391,-26353448.046763055,168784048.90984398
79,223,HD_28024,18,7957.8885,42842,0.6485,0.012838,0.002296,0.000502,0.9571,7680.4,W2,S2,211015_18_HD_28024.pav,263421797.3168594,263421797.3168594,98.87434322709973,0.022093425668300547,0.002398913384181381,0.0005245010970640476,0.09564524572780662,0.0039736668404657186,-26353448.046763055,168784048.90984398
