,index,Star,Scan,JD,CHARA_num,wl,v2,v2c,v2sig,v2exp,flux,T1,T2,File,sp_freq,sp_freq_sample,pa,corr_v2,corr_v2c,corr_v2sig,cal_v2,cal_v2sig,u,v
33,129,HD_84999,9,7793.7228,130216,0.7564,0.0071,0.002413,0.00021,0.9675,11243.8,W2,S2,210504_9_HD_84999.pav,195188831.13043228,195188831.13043228,136.21717613230558,0.01043546928149571,0.00249405684754522,0.00021705426356589147,0.08154697337123591,0.0040473334458519744,-106591909.79929385,102156644.42284885
34,130,HD_84999,9,7793.7228,130216,0.7496,0.004688,0.001784,0.000183,0.9676,12377.4,W2,S2,210504_9_HD_84999.pav,196959487.5494383,196959487.5494383,136.21717613230558,0.006924660442679515,0.0018437370814386109,0.00018912773873501447,0.08585049686446498,0.003488452552671856,-106591909.79929385,102156644.42284885
35,131,HD_84999,9,7793.7228,130216,0.7428,0.004127,0.001441,0.000198,0.9659,12878.3,W2,S2,210504_9_HD_84999.pav,198762563.09512514,198762563.09512514,136.21717613230558,0.006138381349833616,0.0014918728646857854,0.000204990164613314,0.08560866497617237,0.005072515696147668,-106591909.79929385,102156644.42284885
36,132,HD_84999,9,7793.7228,130216,0.736,0.004296,0.001376,0.000177,0.9636,13654.3,W2,S2,210504_9_HD_84999.pav,200598956.34111273,200598956.34111273,136.21717613230558,0.006438913478395282,0.0014279784142797842,0.00018368617683686177,0.0729557962451181,0.0028208564363351955,-106591909.79929385,102156644.42284885
37,133,HD_84999,9,7793.7228,130216,0.7292,0.003947,0.001331,0.000177,0.961,14178.0,W2,S2,210504_9_HD_84999.pav,202469599.37885213,202469599.37885213,136.21717613230558,0.005963826291947826,0.0013850156087408948,0.0001841831425598335,0.07558126076210431,0.0056519494044313685,-106591909.79929385,102156644.42284885
38,134,HD_84999,9,7793.7228,130216,0.7223,0.002234,0.000975,0.000173,0.9588,14653.2,W2,S2,210504_9_HD_84999.pav,204403754.48852134,204403754.48852134,136.21717613230558,0.0034022109654541395,0.0010168961201501877,0.00018043387567793075,0.06748137755098815,0.007998192951415658,-106591909.79929385,102156644.42284885
39,135,HD_84999,9,7793.7228,130216,0.7159,0.002667,0.000757,0.000194,0.9564,14496.5,W2,S2,210504_9_HD_84999.pav,206231082.36773148,206231082.36773148,136.21717613230558,0.0040933444628626124,0.0007915098285236303,0.0002028439983270598,0.05352635267388062,0.003335862846794515,-106591909.79929385,102156644.42284885
40,136,HD_84999,9,7793.7228,130216,0.7095,0.004522,0.001331,0.000187,0.9536,15152.3,W2,S2,210504_9_HD_84999.pav,208091376.83870184,208091376.83870184,136.21717613230558,0.0069983763189221315,0.0013957634228187919,0.00019609899328859058,0.049979048679473795,0.0017143726069691202,-106591909.79929385,102156644.42284885
41,137,HD_84999,9,7793.7228,130216,0.7035,0.005587,0.001512,0.000198,0.9499,15589.5,W2,S2,210504_9_HD_84999.pav,209866143.37890399,209866143.37890399,136.21717613230558,0.00872497429034316,0.0015917464996315404,0.00020844299399936834,0.046280967895117285,0.0015122373015556852,-106591909.79929385,102156644.42284885
42,138,HD_84999,9,7793.7228,130216,0.6977,0.005762,0.001608,0.000192,0.9457,15806.1,W2,S2,210504_9_HD_84999.pav,211610766.6146753,211610766.6146753,136.21717613230558,0.009084076081274053,0.0017003277995135879,0.00020302421486729407,0.0444472909065489,0.0012280768702348226,-106591909.79929385,102156644.42284885
43,139,HD_84999,9,7793.7228,130216,0.6918,0.006072,0.001859,0.000213,0.9414,14931.1,W2,S2,210504_9_HD_84999.pav,213415484.05183432,213415484.05183432,136.21717613230558,0.009667019547274978,0.0019747185043552155,0.00022625876354365838,0.041644885848796075,0.0013587229711422247,-106591909.79929385,102156644.42284885
44,140,HD_84999,9,7793.7228,130216,0.686,0.005447,0.00175,0.000205,0.9391,15052.5,W2,S2,210504_9_HD_84999.pav,215219871.526325,215219871.526325,136.21717613230558,0.008738907733129736,0.001863486316686189,0.00021829411138323926,0.038360136594820744,0.0010972199397368473,-106591909.79929385,102156644.42284885
